link,prompt count,bias count
https://www.aclanthology.org/2021.ltedi-1.4.pdf,2,2
https://www.aclanthology.org/2021.mrqa-1.9.pdf,3,3
https://www.aclanthology.org/2021.ranlp-1.16.pdf,2,1
https://www.aclanthology.org/2021.gebnlp-1.11.pdf,2,2
https://www.aclanthology.org/2021.nodalida-main.28.pdf,2,2
https://www.aclanthology.org/2021.deelio-1.12.pdf,3,3
https://www.aclanthology.org/2021.acl-long.81.pdf,2,4
https://www.aclanthology.org/2021.acl-long.93.pdf,2,1
https://www.aclanthology.org/2021.acl-long.102.pdf,4,3
https://www.aclanthology.org/2021.acl-long.145.pdf,2,1
https://www.aclanthology.org/2021.acl-long.146.pdf,3,2
https://www.aclanthology.org/2021.acl-long.151.pdf,2,4
https://www.aclanthology.org/2021.acl-long.329.pdf,6,4
https://www.aclanthology.org/2021.acl-short.20.pdf,3,1
https://www.aclanthology.org/2021.acl-short.115.pdf,2,2
https://www.aclanthology.org/2021.nuse-1.5.pdf,2,3
https://www.aclanthology.org/2020.emnlp-main.11.pdf,2,1
https://www.aclanthology.org/2020.emnlp-main.16.pdf,3,2
https://www.aclanthology.org/2020.emnlp-main.70.pdf,3,1
https://www.aclanthology.org/2020.emnlp-main.111.pdf,2,1
https://www.aclanthology.org/2020.emnlp-main.154.pdf,3,3
https://www.aclanthology.org/2020.emnlp-main.262.pdf,2,3
https://www.aclanthology.org/2020.emnlp-main.448.pdf,2,1
https://www.aclanthology.org/2020.emnlp-main.554.pdf,2,1
https://www.aclanthology.org/2020.emnlp-main.556.pdf,3,3
https://www.aclanthology.org/2020.emnlp-main.656.pdf,2,3
https://www.aclanthology.org/2020.acl-main.179.pdf,3,1
https://www.aclanthology.org/2020.acl-main.431.pdf,2,2
https://www.aclanthology.org/2020.acl-srw.33.pdf,2,2
https://www.aclanthology.org/2020.acl-tutorials.7.pdf,2,1
https://www.aclanthology.org/2021.conll-1.4.pdf,3,3
https://www.aclanthology.org/2021.conll-1.6.pdf,3,1
https://www.aclanthology.org/2021.eacl-main.190.pdf,2,3
https://www.aclanthology.org/2021.eacl-main.284.pdf,2,1
https://www.aclanthology.org/2022.bigscience-1.3.pdf,3,5
https://www.aclanthology.org/2022.bigscience-1.6.pdf,2,5
https://www.aclanthology.org/2022.acl-long.49.pdf,3,1
https://www.aclanthology.org/2022.acl-long.72.pdf,5,5
https://www.aclanthology.org/2022.acl-long.129.pdf,3,2
https://www.aclanthology.org/2022.acl-long.132.pdf,3,4
